"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",98.7661944760457,3.61912194312659,31.100936672283,27.2900985454833,2.73102596988962e-23
"TreatmentHeat",3.49619726044536,2.28491507947536,272.193435011672,1.53012131253828,0.127148013464613
"RegionSouth",0.872541063799472,6.94684227688259,27.789078253208,0.12560254415205,0.900950845823415
