"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",54.2691346012341,4.3572174621746,38.8870019247912,12.4549979596725,3.78507890440413e-15
"TreatmentHeat",-14.4244764719874,3.7984288092318,167.080196378067,-3.79748501194226,0.000204296838279082
"RegionSouth",10.8713696164247,7.60136357816637,30.4475837272605,1.43018676907534,0.162846028317587
