"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.8101270758897,0.19735803651682,4.10485982829817,6.36473555742083e-05
"TreatmentHeat",1.52184467202527,0.263198090142992,5.78212657697659,3.63284627919998e-08
"RegionSouth",-0.507777122440323,0.295371528546367,-1.71911329754524,0.0874805567980598
