,Estimate,Std. Error,df,t value,Pr(>|t|)
(Intercept),11.89181474,0.128844925,41.02550014,92.29556167,3.29E-49
Treatment-Heat,-1.618573429,0.105418487,283.2163052,-15.35379112,3.99E-39
Region-South,0.783825134,0.241819016,33.47909419,3.241370954,0.002691729
