"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",19.4630626702257,2.82158031938765,42.4107105464543,6.89792969439538,1.93769530351918e-08
"TreatmentHeat",4.16894160081542,2.64798434868346,160.540027533595,1.5743830218967,0.117367565349789
"RegionSouth",-12.3463989633161,4.79331108618218,30.3447752425305,-2.57575582751294,0.0151084731793601
