"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",2.17001859615252,0.0175912385543664,123.357919878466,5.82620076681383e-112
"TreatmentHeat",-0.22104811939448,0.0245850034482504,-8.99117707507221,1.49064744051582e-14
"RegionSouth",-0.000770285370792861,0.0287355030561238,-0.026806051360521,0.978667320218979
