"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",7.53486279596049,0.0838120953265005,39.0318415662186,89.9018544591623,7.28502456820132e-47
"TreatmentHeat",-0.823112839962702,0.0615244399809441,282.02971898252,-13.3786319748322,6.07752771509922e-32
"RegionSouth",0.080183192434278,0.158870009734926,33.2176229578814,0.504709432372186,0.617094929557832
