"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",0.696253739137658,0.015090175054263,56.857237638825,46.139540239526,9.42478446964191e-47
"TreatmentHeat",-0.0040797473416807,0.0183048256747437,75.5869331654243,-0.22287824064393,0.824231462629837
"RegionSouth",-0.0669324347540131,0.0260217560186162,33.7978648357897,-2.57217209730693,0.0146764887162727
