ID,Iden,location,population,ramet,Germ.Tmin,Germ.Tmax,PTGR.Tmin,PTGR.Tmax,HCMS,CCMS,HCHPL,CCHPL,HPS,CPS
FR10,FR10C,North,FR,C,8.705,54.239,9.939,41.428,0.867930027,0.460391376,0.393907563,0.606620163,0.959276018,0.784313725
FR10,FR10D,North,FR,D,NA,NA,NA,NA,0.829313734,0.446630978,0.581480812,0.579882678,NA,NA
FR11,FR11A,North,FR,A,NA,NA,NA,NA,0.225174528,0.467638091,0.579278142,0.61212713,0.808888889,0.697857143
FR11,FR11B,North,FR,B,NA,NA,NA,NA,0.763022812,0.543857579,0.52416878,0.703934513,0.928571429,0.523529412
FR11,FR11C,North,FR,C,10.008,41.629,10.47,42.325,0.640742173,0.456766831,0.298102036,0.782849571,0.482183908,0.723214286
FR11,FR11D,North,FR,D,NA,NA,NA,NA,0.559279056,0.77809167,0.429118774,0.788519867,0.368421053,0.413385827
FR12,FR12A,North,FR,A,8.442,48.521,9.896,42.639,0.671459487,0.494859172,0.315730337,0.700138819,0.491646778,0.892601432
FR12,FR12C,North,FR,C,NA,NA,NA,NA,0.729333898,0.445212777,0.528795504,0.722904508,NA,NA
FR12,FR12D,North,FR,D,NA,NA,NA,NA,0.654880868,0.754033946,0.536214741,0.754168062,0.64137931,0.494535519
FR2,FR2A,North,FR,A,1.182,51.242,9.372,41.503,0.790364557,0.545622539,0.326666667,0.727596049,NA,0.685106383
FR2,FR2B,North,FR,B,NA,NA,NA,NA,0.869979086,0.523871269,0.463389702,0.957761232,NA,0.77245509
FR2,FR2C,North,FR,C,NA,NA,NA,NA,0.850026589,0.469259558,0.83124255,0.71508478,0.788135593,0.657657658
FR2,FR2D,North,FR,D,NA,NA,NA,NA,0.869122074,0.490877912,0.637691571,0.766631806,0.60952381,0.242857143
FR6,FR6A,North,FR,A,NA,NA,NA,NA,0.62335598,0.544635752,0.46241829,0.710144928,NA,0.662222222
FR6,FR6B,North,FR,B,NA,NA,NA,NA,0.779289394,0.620542565,0.354379109,0.771341089,0.405405405,0.708571429
FR6,FR6C,North,FR,C,NA,NA,NA,NA,0.892920533,0.485240847,0.519655525,0.906586271,NA,0.658415842
FR8,FR8A,North,FR,A,6.788,46.134,9.614,41.653,0.560827146,0.479571406,0.498659589,0.552776376,NA,0.713333333
FR8,FR8B,North,FR,B,NA,NA,NA,NA,0.417722018,0.469237635,0.328644162,0.728932297,0.831501832,0.340506329
FR8,FR8D,North,FR,D,NA,NA,NA,NA,0.507768369,0.494736341,0.310766601,0.759413528,NA,0.780701754
OP1,OP1A,South,OP,A,8.926,43.376,10.13,41.867,0.849403782,0.664627715,0.345257339,0.800001816,NA,0.670588235
OP1,OP1B,South,OP,B,9.482,41.502,9.669,42.314,0.874445237,0.513981835,0.458317746,0.663468893,NA,NA
OP1,OP1C,South,OP,C,9.465,51.266,9.836,41.508,0.666397653,0.527829383,0.378844238,0.75483871,NA,0.506493506
OP1,OP1D,South,OP,D,NA,NA,NA,NA,0.838740052,0.433638645,0.421654226,0.662221428,0.815868263,0.566820276
OP2,OP2A,South,OP,A,9.493,48.339,9.921,41.034,0.287429049,0.536047312,0.337844818,0.571534693,NA,0.641975309
OP2,OP2B,South,OP,B,9.259,40.698,9.765,41.066,0.719497815,0.476893959,0.471335825,0.78119349,NA,NA
