ID,Iden,Region,Population,Treatment,Block,Number,style_length,stamen_length,ovule_number,mass,viable_seed,aborted_seed,unfertilized
CE7b,CE7bA,South,CE,Control,A,2,,,,,,,
CE7b,CE7bA,South,CE,Control,A,3,,,,,,,
CE7b,CE7bB,South,CE,Heat,B,1,,,,,,,
CE7b,CE7bB,South,CE,Heat,B,2,,,,,,,
CE7b,CE7bB,South,CE,Heat,B,3,,,,,,,
CE7b,CE7bC,South,CE,Control,C,1,,,,,,,
CE7b,CE7bC,South,CE,Control,C,2,,,,,,,
CE7b,CE7bC,South,CE,Control,C,3,,,,,,,
CE7b,CE7bD,South,CE,Heat,D,1,,,,,,,
CE7b,CE7bD,South,CE,Heat,D,2,,,,,,,
CE7b,CE7bD,South,CE,Heat,D,3,,,,,,,
CE8,CE8A,South,CE,Control,A,1,,,,,,,
CE8,CE8A,South,CE,Control,A,2,,,,,,,
CE8,CE8A,South,CE,Control,A,3,,,,,,,
CE8,CE8B,South,CE,Heat,B,1,,,,,,,
CE8,CE8B,South,CE,Heat,B,2,,,,,,,
CE8,CE8B,South,CE,Heat,B,3,,,,,,,
CE8,CE8C,South,CE,Control,C,1,,,,,,,
CE8,CE8C,South,CE,Control,C,2,,,,,,,
CE8,CE8C,South,CE,Control,C,3,,,,,,,
CE8,CE8D,South,CE,Heat,D,1,,,,,,,
CE8,CE8D,South,CE,Heat,D,2,,,,,,,
CE8,CE8D,South,CE,Heat,D,3,,,,,,,
CE9,CE9A,South,CE,Control,A,1,,,,,,,
CE9,CE9A,South,CE,Control,A,2,,,,,,,
CE9,CE9A,South,CE,Control,A,3,,,,,,,
CE9,CE9B,South,CE,Heat,B,1,,,,,,,
CE9,CE9B,South,CE,Heat,B,2,,,,,,,
CE9,CE9B,South,CE,Heat,B,3,,,,,,,
CE9,CE9C,South,CE,Control,C,1,,,,,,,
CE9,CE9C,South,CE,Control,C,2,,,,,,,
CE9,CE9C,South,CE,Control,C,3,,,,,,,
CE9,CE9D,South,CE,Heat,D,1,,,,,,,
CE9,CE9D,South,CE,Heat,D,2,,,,,,,
CE9,CE9D,South,CE,Heat,D,3,,,,,,,
FR10,FR10A,North,FR,Heat,A,1,10.4,6,82,,82,0,9
FR10,FR10A,North,FR,Heat,A,2,11.9,6.1,118,,79,3,3
FR10,FR10A,North,FR,Heat,A,3,11.6,6.4,129,,85,2,2
FR10,FR10B,North,FR,Control,B,1,,,,,,,
FR10,FR10B,North,FR,Control,B,2,,,,,,,
FR10,FR10B,North,FR,Control,B,3,,,,,,,
FR10,FR10C,North,FR,Heat,C,1,10.6,6.1,132,,,,
FR10,FR10C,North,FR,Heat,C,2,10.9,6.8,154,,,,
FR10,FR10C,North,FR,Heat,C,3,,,,,,,
FR10,FR10D,North,FR,Control,D,1,,,,,,,
FR10,FR10D,North,FR,Control,D,2,,,,,,,
FR10,FR10D,North,FR,Control,D,3,,,,,,,
FR11,FR11A,North,FR,Heat,A,1,,,,,,,
FR11,FR11A,North,FR,Heat,A,2,,,,,,,
FR11,FR11A,North,FR,Heat,A,3,,,,,,,
FR11,FR11B,North,FR,Control,B,1,11,6.1,112,,56,2,0
FR11,FR11B,North,FR,Control,B,2,11.5,6.6,110,,15,0,4
FR11,FR11B,North,FR,Control,B,3,11.8,7,137,,20,0,28
FR11,FR11C,North,FR,Heat,C,1,9.8,6.1,142,,,,
FR11,FR11C,North,FR,Heat,C,2,10,6,187,,,,
FR11,FR11C,North,FR,Heat,C,3,10,6.1,170,,,,
FR11,FR11D,North,FR,Control,D,1,12.3,8,146,,,,
