Name::Name,Area::Area!!R,Intensity Mean Value::Intensity Mean Value!!R,Diameter::Diameter!!R,,,mean,median,sd,se,max,min
,µm²,,µm,,,2.061123384,2.068379311,0.328755386,0.033041159,2.665893367,1.471651459
Circle (Diameter),4.498469824,83.36815828,2.39324668,,,,,,,,
Circle (Diameter),2.074668159,75.89798905,1.62528445,,,,,,,,
Circle (Diameter),2.023599404,64.28604742,1.605156312,,,,,,,,
Circle (Diameter),2.381571733,69.83033395,1.741353298,,,,,,,,
Circle (Diameter),2.187805093,84.98593726,1.669011672,,,,,,,,
Circle (Diameter),4.373253166,78.42925999,2.359703132,,,,,,,,
Circle (Diameter),4.827666873,76.06994541,2.479269322,,,,,,,,
Circle (Diameter),4.801739659,80.03815558,2.472602843,,,,,,,,
Circle (Diameter),2.281300197,77.93465532,1.70430092,,,,,,,,
Circle (Diameter),2.609711574,76.53189562,1.822851606,,,,,,,,
Circle (Diameter),2.713027593,81.59635006,1.858583874,,,,,,,,
Circle (Diameter),2.013287444,79.07321289,1.60106127,,,,,,,,
Circle (Diameter),4.668862688,71.31044473,2.438151062,,,,,,,,
Circle (Diameter),3.005985468,71.34268297,1.956358753,,,,,,,,
Circle (Diameter),3.98974646,74.8607688,2.253864008,,,,,,,,
Circle (Diameter),4.514183287,76.20590951,2.397422923,,,,,,,,
Circle (Diameter),4.73859118,77.18799372,2.456290226,,,,,,,,
Circle (Diameter),4.636453671,77.46969292,2.429674085,,,,,,,,
Circle (Diameter),3.49202252,82.51626226,2.108596966,,,,,,,,
Circle (Diameter),2.66628004,71.69793249,1.842501882,,,,,,,,
Circle (Diameter),4.48403308,80.55607465,2.389403322,,,,,,,,
Circle (Diameter),4.266303408,78.78742009,2.330670764,,,,,,,,
Circle (Diameter),2.866233857,69.1089004,1.910340883,,,,,,,,
Circle (Diameter),2.782559666,75.24692606,1.882249984,,,,,,,,
Circle (Diameter),2.423507037,67.51300598,1.756617487,,,,,,,,
Circle (Diameter),3.69040499,77.76951457,2.167664543,,,,,,,,
Circle (Diameter),2.610890083,71.82424921,1.823263146,,,,,,,,
Circle (Diameter),4.850844231,83.76277762,2.485213613,,,,,,,,
Circle (Diameter),3.798042211,87.528707,2.199049235,,,,,,,,
Circle (Diameter),2.434015416,75.13242706,1.760421733,,,,,,,,
Circle (Diameter),4.210913451,79.78209554,2.315491638,,,,,,,,
