Name::Name,Area::Area!!R,Intensity Mean Value::Intensity Mean Value!!R,Diameter::Diameter!!R,,,mean,median,sd,se,max,min
Circle (Diameter),3.127180013,79.50763084,1.99540704,,,,,,,,
Circle (Diameter),2.489982985,84.19563153,1.780546209,,,,,,,,
Circle (Diameter),2.328852703,81.44060339,1.721971938,,,,,,,,
Circle (Diameter),2.861920081,88.64425572,1.908902779,,,,,,,,
Circle (Diameter),3.145437199,90.46656904,2.001223383,,,,,,,,
Circle (Diameter),2.520022425,99.35759875,1.791254367,,,,,,,,
Circle (Diameter),2.344137789,97.08074802,1.727613652,,,,,,,,
Circle (Diameter),2.614811189,103.1141087,1.824631746,,,,,,,,
Circle (Diameter),2.632856082,105.2374898,1.830916841,,,,,,,,
Circle (Diameter),3.262941298,101.8666184,2.038260507,,,,,,,,
Circle (Diameter),2.765114535,100.1317063,1.876340367,,,,,,,,
Circle (Diameter),2.187677949,96.09637625,1.668963174,,,,,,,,
Circle (Diameter),2.250304344,100.0452045,1.692683218,,,,,,,,
Circle (Diameter),3.136520898,101.030632,1.998384958,,,,,,,,
Circle (Diameter),2.152755773,97.08663185,1.655588651,,,,,,,,
Circle (Diameter),1.849920005,92.28149546,1.534728414,,,,,,,,
Circle (Diameter),3.424920752,95.65316589,2.088239579,,,,,,,,
Circle (Diameter),2.764583803,91.44314715,1.876160287,,,,,,,,
Circle (Diameter),1.865629677,93.02233056,1.541231157,,,,,,,,
Circle (Diameter),2.723398988,89.51656558,1.862132994,,,,,,,,
Circle (Diameter),2.081531518,95.50226684,1.62797059,,,,,,,,
Circle (Diameter),2.789740507,85.31221774,1.884677143,,,,,,,,
Circle (Diameter),2.876355995,95.88693713,1.913711106,,,,,,,,
Circle (Diameter),2.042469631,93.24378438,1.612623051,,,,,,,,
Circle (Diameter),1.630515331,88.12368512,1.440845793,,,,,,,,
Circle (Diameter),2.439775723,86.27347277,1.762503598,,,,,,,,
Circle (Diameter),2.584559456,87.85322139,1.814046114,,,,,,,,
Circle (Diameter),1.763410663,95.19912096,1.498413891,,,,,,,,
Circle (Diameter),2.68943213,93.52352302,1.850484083,,,,,,,,
Circle (Diameter),1.607587702,86.32212377,1.430679641,,,,,,,,
Circle (Diameter),2.311126249,79.81662211,1.71540588,,,,,,,,
Circle (Diameter),2.247119951,75.88162227,1.691485141,,,,,,,,
Circle (Diameter),2.917010079,82.01014465,1.92718774,,,,,,,,
Circle (Diameter),2.534989072,74.40758147,1.796565705,,,,,,,,
Circle (Diameter),2.906289289,80.42441027,1.923643016,,,,,,,,
Circle (Diameter),1.751203824,88.64263745,1.493218657,,,,,,,,
