Name::Name,Area::Area!!R,Intensity Mean Value::Intensity Mean Value!!R,Diameter::Diameter!!R,,,mean,median,sd,se,max,min
,µm²,,µm,,,1.957671678,1.946506612,0.264475427,0.023846946,2.451168676,1.372920143
Circle (Diameter),4.096892635,70.61707337,2.283927695,,,,,,,,
Circle (Diameter),2.776667118,96.33896451,1.880255934,,,,,,,,
Circle (Diameter),3.607221845,80.42965993,2.143095308,,,,,,,,
Circle (Diameter),3.659763737,86.01438901,2.158646779,,,,,,,,
Circle (Diameter),3.670075697,93.2870941,2.161685803,,,,,,,,
Circle (Diameter),3.436730772,95.11463758,2.091836878,,,,,,,,
Circle (Diameter),2.24427535,75.98786724,1.690414187,,,,,,,,
Circle (Diameter),3.147112007,76.80267905,2.001756094,,,,,,,,
Circle (Diameter),2.027429561,84.3986494,1.606674669,,,,,,,,
Circle (Diameter),4.135488829,80.74892412,2.29466074,,,,,,,,
Circle (Diameter),4.457221983,78.665302,2.382249208,,,,,,,,
Circle (Diameter),2.748775721,74.55131929,1.87078859,,,,,,,,
Circle (Diameter),2.44501484,91.12167388,1.764394962,,,,,,,,
Circle (Diameter),3.89792091,88.58948129,2.227776256,,,,,,,,
Circle (Diameter),3.812282537,80.92406784,2.20316792,,,,,,,,
Circle (Diameter),3.354235091,95.65738844,2.066578032,,,,,,,,
Circle (Diameter),3.23392889,88.27918376,2.029178688,,,,,,,,
Circle (Diameter),3.941034725,83.06997584,2.24006278,,,,,,,,
Circle (Diameter),2.844235009,69.07067348,1.902995661,,,,,,,,
Circle (Diameter),4.461444977,75.02471132,2.383377471,,,,,,,,
Circle (Diameter),3.212715715,73.73686237,2.022512471,,,,,,,,
Circle (Diameter),3.985327048,77.41878237,2.252615368,,,,,,,,
Circle (Diameter),2.086944302,78.72685185,1.630085891,,,,,,,,
Circle (Diameter),4.233305136,89.37560197,2.321639831,,,,,,,,
Circle (Diameter),2.387366072,78.29771388,1.743470359,,,,,,,,
Circle (Diameter),4.321693365,65.27319641,2.345751669,,,,,,,,
Circle (Diameter),4.392011112,74.08628035,2.364758387,,,,,,,,
Circle (Diameter),3.899001211,66.85294203,2.228084946,,,,,,,,
Circle (Diameter),4.718851142,71.78542945,2.451168676,,,,,,,,
Circle (Diameter),4.382975871,72.50608691,2.362324745,,,,,,,,
Circle (Diameter),3.892715826,79.05236027,2.226288329,,,,,,,,
Circle (Diameter),4.029422954,85.5903786,2.265043189,,,,,,,,
Circle (Diameter),3.426811649,84.709723,2.088815957,,,,,,,,
Circle (Diameter),2.069659493,100.9786899,1.623321382,,,,,,,,
Circle (Diameter),3.121184794,91.30438075,1.993493392,,,,,,,,
Circle (Diameter),3.367493326,85.13031568,2.070658269,,,,,,,,
Circle (Diameter),4.255991448,91.86781868,2.327852361,,,,,,,,
Circle (Diameter),4.284373891,95.61292021,2.335601478,,,,,,,,
Circle (Diameter),3.856869488,83.36216106,2.216014159,,,,,,,,
Circle (Diameter),2.250560735,73.97129282,1.692779645,,,,,,,,
Circle (Diameter),4.168487101,72.95228827,2.303797434,,,,,,,,
Circle (Diameter),4.239197685,83.97550662,2.323255072,,,,,,,,
Circle (Diameter),4.168487101,81.18483963,2.303797434,,,,,,,,
Circle (Diameter),3.899001211,85.54852674,2.228084946,,,,,,,,
Circle (Diameter),3.511173303,88.55342545,2.114370993,,,,,,,,
Circle (Diameter),4.502227455,81.13118979,2.394246026,,,,,,,,
Circle (Diameter),4.494782873,82.09984208,2.392265725,,,,,,,,
Circle (Diameter),3.642727166,81.37279698,2.153616558,,,,,,,,
Circle (Diameter),3.428462783,78.06739838,2.089319122,,,,,,,,
Circle (Diameter),3.348782488,87.43686351,2.064897646,,,,,,,,
Circle (Diameter),3.279920102,93.21629136,2.043556698,,,,,,,,
Circle (Diameter),2.443335168,76.07057416,1.763788807,,,,,,,,
Circle (Diameter),3.052860342,81.97771557,1.971553325,,,,,,,,
Circle (Diameter),4.260278531,71.1914393,2.329024495,,,,,,,,
Circle (Diameter),4.652165995,81.19727627,2.433787524,,,,,,,,
Circle (Diameter),2.526737754,89.67321889,1.793639436,,,,,,,,
Circle (Diameter),3.013427321,83.49248106,1.958778913,,,,,,,,
Circle (Diameter),3.836286306,65.44208455,2.210093082,,,,,,,,
Circle (Diameter),2.943634362,83.59241253,1.935962726,,,,,,,,
Circle (Diameter),2.902572838,73.09807648,1.922412682,,,,,,,,
Circle (Diameter),2.583851659,87.05013285,1.813797704,,,,,,,,
Circle (Diameter),2.55558551,90.59550859,1.803849365,,,,,,,,
Circle (Diameter),2.842434571,95.81607602,1.902393256,,,,,,,,
Circle (Diameter),2.507574064,85.86342842,1.786824686,,,,,,,,
Circle (Diameter),1.98627993,93.71693841,1.590286186,,,,,,,,
Circle (Diameter),2.552848479,95.11431214,1.802883145,,,,,,,,
Circle (Diameter),2.079087571,101.1639725,1.627014601,,,,,,,,
Circle (Diameter),3.058232732,98.68206562,1.973287321,,,,,,,,
Circle (Diameter),2.984183038,88.33447769,1.949251101,,,,,,,,
Circle (Diameter),2.115032117,84.88005965,1.641018748,,,,,,,,
Circle (Diameter),2.646245375,89.36027537,1.835566467,,,,,,,,
Circle (Diameter),3.08494562,92.6259216,1.981886666,,,,,,,,
Circle (Diameter),2.531831723,96.62297778,1.795446538,,,,,,,,
Circle (Diameter),2.693680391,83.90605567,1.85194503,,,,,,,,
Circle (Diameter),2.799451639,94.8358467,1.887954589,,,,,,,,
Circle (Diameter),2.537135016,77.86387597,1.797325967,,,,,,,,
Circle (Diameter),2.057285141,86.41425998,1.618461243,,,,,,,,
Circle (Diameter),2.127995724,96.34978053,1.64604019,,,,,,,,
Circle (Diameter),2.016528346,85.98246005,1.60234941,,,,,,,,
Circle (Diameter),1.684876068,98.87328448,1.464667484,,,,,,,,
Circle (Diameter),2.97819228,104.4248979,1.947293553,,,,,,,,
Circle (Diameter),2.229052933,102.4116311,1.684671583,,,,,,,,
Circle (Diameter),2.948729537,82.72134591,1.937637493,,,,,,,,
