Name::Name,Area::Area!!R,Intensity Mean Value::Intensity Mean Value!!R,Diameter::Diameter!!R,,,mean,median,sd,se,max,min
Circle (Diameter),2.07060853,80.94547526,1.623693525,,,,,,,,
Circle (Diameter),2.483442271,89.01075562,1.778206092,,,,,,,,
Circle (Diameter),2.14089851,79.20324222,1.651022908,,,,,,,,
Circle (Diameter),2.710754312,82.48185024,1.857805045,,,,,,,,
Circle (Diameter),3.056038423,98.01114967,1.972579269,,,,,,,,
Circle (Diameter),2.073485898,93.47419722,1.624821295,,,,,,,,
Circle (Diameter),2.713631679,84.15730616,1.85879078,,,,,,,,
Circle (Diameter),3.165789445,84.82684106,2.007687304,,,,,,,,
Circle (Diameter),2.222012873,93.58765232,1.682009114,,,,,,,,
Circle (Diameter),2.74267939,99.84342585,1.868712888,,,,,,,,
Circle (Diameter),3.516691274,78.83249007,2.116031757,,,,,,,,
Circle (Diameter),2.785428852,82.59643737,1.883220158,,,,,,,,
Circle (Diameter),2.578669437,78.47858327,1.811977897,,,,,,,,
Circle (Diameter),2.537701203,85.51719096,1.797526502,,,,,,,,
Circle (Diameter),3.173599442,84.28125,2.010162259,,,,,,,,
Circle (Diameter),2.767753594,86.18061423,1.877235554,,,,,,,,
Circle (Diameter),2.961359328,79.92926607,1.941782635,,,,,,,,
Circle (Diameter),3.093992272,101.5461494,1.984790496,,,,,,,,
Circle (Diameter),2.903126888,85.74738554,1.92259615,,,,,,,,
Circle (Diameter),1.962638736,92.16621815,1.580793867,,,,,,,,
Circle (Diameter),1.939756813,87.02953269,1.571551807,,,,,,,,
Circle (Diameter),2.950397927,89.9057452,1.938185573,,,,,,,,
Circle (Diameter),3.013288962,89.03019658,1.958733945,,,,,,,,
Circle (Diameter),2.14637921,91.47220183,1.653134867,,,,,,,,
Circle (Diameter),1.935372253,92.15587056,1.569774661,,,,,,,,
Circle (Diameter),2.755970088,88.27100514,1.873235196,,,,,,,,
Circle (Diameter),2.712398522,87.92818917,1.858368386,,,,,,,,
Circle (Diameter),3.097691745,86.44105787,1.985976744,,,,,,,,
Circle (Diameter),2.707739927,84.75165246,1.856771809,,,,,,,,
Circle (Diameter),2.245031813,87.25435749,1.690699052,,,,,,,,
Circle (Diameter),2.487415779,92.2386594,1.779628089,,,,,,,,
Circle (Diameter),2.043342047,99.0995878,1.61296742,,,,,,,,
Circle (Diameter),3.01781054,89.95166343,1.960202979,,,,,,,,
Circle (Diameter),1.711348633,86.49711097,1.476128976,,,,,,,,
Circle (Diameter),2.609498376,79.86844943,1.822777146,,,,,,,,
Circle (Diameter),2.582094875,77.20527323,1.81318099,,,,,,,,
Circle (Diameter),2.245442866,78.849749,1.690853823,,,,,,,,
Circle (Diameter),2.431786672,76.43285516,1.75961557,,,,,,,,
Circle (Diameter),2.254211986,86.36353635,1.694152249,,,,,,,,
