Name::Name,Area::Area!!R,Intensity Mean Value::Intensity Mean Value!!R,Diameter::Diameter!!R,,,mean,median,sd,se,max,min
,µm²,,µm,,,2.119883781,2.16454726,0.232821347,0.021524341,2.527817527,1.645166344
Circle (Diameter),3.856182024,82.08943944,2.215816654,,,,,,,,
Circle (Diameter),4.230064234,75.70161935,2.320750969,,,,,,,,
Circle (Diameter),4.922733324,60.11222436,2.503561211,,,,,,,,
Circle (Diameter),3.555662045,65.4078322,2.127724024,,,,,,,,
Circle (Diameter),4.0825541,70.22354606,2.279927482,,,,,,,,
Circle (Diameter),3.933963666,71.04355421,2.238052302,,,,,,,,
Circle (Diameter),4.105240413,63.98953642,2.286253362,,,,,,,,
Circle (Diameter),4.272195957,68.94119507,2.332279751,,,,,,,,
Circle (Diameter),3.950069966,76.11756317,2.242629101,,,,,,,,
Circle (Diameter),3.6067308,67.48199394,2.142949435,,,,,,,,
Circle (Diameter),2.725500154,65.72306804,1.862851195,,,,,,,,
Circle (Diameter),4.642640847,54.07040373,2.4312947,,,,,,,,
Circle (Diameter),5.007978861,72.46761716,2.525144892,,,,,,,,
Circle (Diameter),2.174154022,79.28679245,1.663796525,,,,,,,,
Circle (Diameter),3.941132934,67.87195698,2.240090691,,,,,,,,
Circle (Diameter),3.300023644,62.81919399,2.049809894,,,,,,,,
Circle (Diameter),3.6067308,63.9423732,2.142949435,,,,,,,,
Circle (Diameter),4.545610213,79.63371516,2.405753661,,,,,,,,
Circle (Diameter),4.346736697,80.51626195,2.352538428,,,,,,,,
Circle (Diameter),3.957141024,72.02496158,2.24463548,,,,,,,,
Circle (Diameter),2.320092809,84.73249612,1.71873032,,,,,,,,
Circle (Diameter),4.205413739,89.15494959,2.313979057,,,,,,,,
Circle (Diameter),2.939399669,74.84129961,1.934569693,,,,,,,,
Circle (Diameter),2.969942712,74.57117397,1.94459469,,,,,,,,
Circle (Diameter),2.660682119,75.97187804,1.840566676,,,,,,,,
Circle (Diameter),3.53101155,86.54709694,2.120335714,,,,,,,,
Circle (Diameter),3.096043253,78.79841552,1.985448237,,,,,,,,
Circle (Diameter),3.910393472,83.32242075,2.231337627,,,,,,,,
Circle (Diameter),3.913634373,83.00031663,2.232262092,,,,,,,,
Circle (Diameter),2.739053016,80.35842618,1.867477072,,,,,,,,
Circle (Diameter),2.711849083,73.49844534,1.858180156,,,,,,,,
Circle (Diameter),2.125736914,71.67728305,1.645166344,,,,,,,,
Circle (Diameter),4.156210958,68.26732136,2.300402606,,,,,,,,
Circle (Diameter),3.584339115,72.81731101,2.136287037,,,,,,,,
Circle (Diameter),3.01148518,60.57880415,1.958147599,,,,,,,,
Circle (Diameter),3.862762037,76.50715305,2.217706333,,,,,,,,
Circle (Diameter),3.901849276,79.78761624,2.228898561,,,,,,,,
